ref_ID,Country,Ref,PubDate,Continent,MPA_name,MPA_size,MPA_size_cat,MPA_age,MPA_age_cat_2,MPA_age_cat,Multiple_Zones,MPA_ntake_01,MPA_notake,Ecosystem,Eco_simple,Study_design,Study_design_2,Stake_simple,Stakeholder,CPUE,Catch,Income
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Kuruwitu community-based marine reserve,0.29,Small,7,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,Increase,
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Kibuyuni Community-based marine,0.275,Small,3,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,Increase,
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Mradi community-based marine reserve,0.22,Small,2,<10 years,Young,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,Increase,
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Mtangata community-base marine reserve,,,17,>10 years,Old,N,,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,No change,
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Tiwi community-based marine reserve,0.13,Small,12,>10 years,Old,N,,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,No change,
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Mayungu,,,,,,Y,N,0,tropical - coral reef,Tropical,,BACI,Fisheries,,,No change,
22,Kenya,"Cinner J.E., McClanahan T.R. (2015) A sea change on the African coast? Preliminary social and ecological outcomes of a governance transformation in Kenyan fisheries. Global Environmental Change 30, 133-139.",2015,Africa,Takaungu,,,,,,Y,N,0,tropical - coral reef,Tropical,,BACI,Fisheries,,,No change,
25,Europe - Mediterranean,"Di Franco A., Thiriet P., Di Carlo G. et al. (2016) Five key attributes can increase marine protected areas performance for small-scale fisheries management. Scientific Reports 6.",2016,Europe,Multiple,,,,,,Y,,0.5,temperate,Temperate,O,BACI,Coastal community,Coastal community,,,Increase
27,USA,"Dobrzynski T., Nicholson E. (2002) User group perceptions of the short-term impacts of marine reserves in Key West. pp. 759-763. Proceedings of the Ninth International Coral Reef Symposium, Bali, 23-27 October 2000.",2002,North America,Florida Keys National Marine Sanctuary,51.45,Medium,2,<10 years,Young,Y,Y,0.7,Subtropical,Temperate,P,Perception,Fisheries,Cfisheries,Decrease,No change,No change
27,USA,"Dobrzynski T., Nicholson E. (2002) User group perceptions of the short-term impacts of marine reserves in Key West. pp. 759-763. Proceedings of the Ninth International Coral Reef Symposium, Bali, 23-27 October 2000.",2002,North America,Florida Keys National Marine Sanctuary,51.45,Medium,2,<10 years,Young,Y,Y,0.7,Subtropical,Temperate,P,Perception,Tourism  ,Ctourism  ,,,Increase
